rep,seqtype,line,period,spec
rep1,ribo,Ara-1,4,1020255.8837254292
rep1,ribo,Ara-1,3.891891891891892,150657.03794383857
rep1,ribo,Ara-1,3.789473684210527,204149.26197323686
rep1,ribo,Ara-1,3.6923076923076925,25688.074058675295
rep1,ribo,Ara-1,3.6000000000000005,191574.18227992082
rep1,ribo,Ara-1,3.5121951219512195,588844.342123754
rep1,ribo,Ara-1,3.428571428571429,398542.90922841674
rep1,ribo,Ara-1,3.348837209302326,174724.02826718256
rep1,ribo,Ara-1,3.272727272727273,208159.3656800158
rep1,ribo,Ara-1,3.2000000000000006,9673.455743982327
rep1,ribo,Ara-1,3.130434782608696,473694.454453448
rep1,ribo,Ara-1,3.063829787234043,121152.15121565919
rep1,ribo,Ara-1,3,3427982.324304315
rep1,ribo,Ara-1,2.938775510204082,867625.1900968069
rep1,ribo,Ara-1,2.880000000000001,777864.7750670556
rep1,ribo,Ara-1,2.823529411764706,278829.29264270555
rep1,ribo,Ara-1,2.7692307692307696,145604.71495454613
rep1,ribo,Ara-1,2.716981132075472,251214.57066977888
rep1,ribo,Ara-1,2.666666666666667,571988.315880198
rep1,ribo,Ara-1,2.618181818181818,681028.181828575
rep1,ribo,Ara-1,2.5714285714285716,277501.1317546225
rep1,ribo,Ara-1,2.5263157894736845,270156.2358964566
rep1,ribo,Ara-1,2.4827586206896552,71522.26584950656
rep1,ribo,Ara-1,2.4406779661016955,264414.2339873492
rep1,ribo,Ara-1,2.4000000000000004,346230.3205813918
rep1,ribo,Ara-1,2.3606557377049184,221475.3994826686
rep1,ribo,Ara-1,2.3225806451612905,303605.06187569856
rep1,ribo,Ara-1,2.285714285714286,502031.97980544984
rep1,ribo,Ara-1,2.25,30048.737243630767
rep1,ribo,Ara-1,2.2153846153846155,20071.684014795752
rep1,ribo,Ara-1,2.181818181818182,70986.70734292195
rep1,ribo,Ara-1,2.1492537313432836,554039.7855997885
rep1,ribo,Ara-1,2.11764705882353,555743.0368193607
rep1,ribo,Ara-1,2.0869565217391304,99769.87155654961
rep1,ribo,Ara-1,2.0571428571428574,109855.25786828039
rep1,ribo,Ara-1,2.028169014084507,379237.3043390904
rep1,ribo,Ara-1,2.0000000000000004,221039.42270940501
rep1,ribo,Ara-2,4,4286312.594128138
rep1,ribo,Ara-2,3.891891891891892,1166620.7968773127
rep1,ribo,Ara-2,3.789473684210527,2181521.738815469
rep1,ribo,Ara-2,3.6923076923076925,1274726.0829386238
rep1,ribo,Ara-2,3.6000000000000005,2333989.54894512
rep1,ribo,Ara-2,3.5121951219512195,1237997.1603038362
rep1,ribo,Ara-2,3.428571428571429,893521.2343793045
rep1,ribo,Ara-2,3.348837209302326,559208.4627293897
rep1,ribo,Ara-2,3.272727272727273,12426.243820554922
rep1,ribo,Ara-2,3.2000000000000006,316995.0621141628
rep1,ribo,Ara-2,3.130434782608696,1829350.009846907
rep1,ribo,Ara-2,3.063829787234043,59758.44437690369
rep1,ribo,Ara-2,3,8019536.727144782
rep1,ribo,Ara-2,2.938775510204082,1613170.96861513
rep1,ribo,Ara-2,2.880000000000001,1448220.0586272452
rep1,ribo,Ara-2,2.823529411764706,1387886.1160706745
rep1,ribo,Ara-2,2.7692307692307696,2035088.6201293892
rep1,ribo,Ara-2,2.716981132075472,2704654.197694932
rep1,ribo,Ara-2,2.666666666666667,1749877.7289441284
rep1,ribo,Ara-2,2.618181818181818,1862886.016669353
rep1,ribo,Ara-2,2.5714285714285716,1027989.5603558801
rep1,ribo,Ara-2,2.5263157894736845,1033776.1580114635
rep1,ribo,Ara-2,2.4827586206896552,985920.8066666796
rep1,ribo,Ara-2,2.4406779661016955,1069786.1186295585
rep1,ribo,Ara-2,2.4000000000000004,536364.1295679056
rep1,ribo,Ara-2,2.3606557377049184,254118.84301503838
rep1,ribo,Ara-2,2.3225806451612905,565709.6725123724
rep1,ribo,Ara-2,2.285714285714286,434015.2104326481
rep1,ribo,Ara-2,2.25,686649.5946196653
rep1,ribo,Ara-2,2.2153846153846155,502653.09084982047
rep1,ribo,Ara-2,2.181818181818182,265796.38599168963
rep1,ribo,Ara-2,2.1492537313432836,676848.0838868167
rep1,ribo,Ara-2,2.11764705882353,369535.7897286896
rep1,ribo,Ara-2,2.0869565217391304,373259.28329187346
rep1,ribo,Ara-2,2.0571428571428574,514583.5961723186
rep1,ribo,Ara-2,2.028169014084507,490710.0120858313
rep1,ribo,Ara-2,2.0000000000000004,83858.53512708489
rep1,ribo,Ara-3,4,1183689.5864860888
rep1,ribo,Ara-3,3.891891891891892,405100.9547146941
rep1,ribo,Ara-3,3.789473684210527,1109796.0090128877
