line,target_id,n
AraM1,ECB_00216,1
AraM1,ECB_00217,1
AraM1,ECB_00218,1
AraM1,ECB_00219,1
AraM1,ECB_00220,1
AraM1,ECB_00221,1
AraM1,ECB_00222,1
AraM1,ECB_00223,1
AraM1,ECB_00226,1
AraM1,ECB_00227,1
AraM1,ECB_00228,1
AraM1,ECB_00229,1
AraM1,ECB_00230,1
AraM1,ECB_00231,1
AraM1,ECB_00232,1
AraM1,ECB_00233,1
AraM1,ECB_00234,1
AraM1,ECB_00235,1
AraM1,ECB_00236,1
AraM1,ECB_00237,1
AraM1,ECB_00238,1
AraM1,ECB_00239,1
AraM1,ECB_00240,1
AraM1,ECB_00241,1
AraM1,ECB_00242,1
AraM1,ECB_00243,1
AraM1,ECB_00244,1
AraM1,ECB_00245,1
AraM1,ECB_00246,1
AraM1,ECB_00247,1
AraM1,ECB_00248,1
AraM1,ECB_00249,1
AraM1,ECB_00250,1
AraM1,ECB_00251,1
AraM1,ECB_00252,1
AraM1,ECB_00253,1
AraM1,ECB_00254,1
AraM1,ECB_00255,1
AraM1,ECB_00256,1
AraM1,ECB_00257,1
AraM1,ECB_00258,1
AraM1,ECB_00259,1
AraM1,ECB_00260,1
AraM1,ECB_00261,1
AraM1,ECB_00262,1
AraM1,ECB_00263,1
AraM1,ECB_00264,1
AraM1,ECB_00265,1
AraM1,ECB_00266,1
AraM1,ECB_00267,1
AraM1,ECB_00268,1
AraM1,ECB_00269,1
AraM1,ECB_00270,1
AraM1,ECB_00271,1
AraM1,ECB_00272,1
AraM1,ECB_00273,1
AraM1,ECB_00274,1
AraM1,ECB_00275,1
AraM1,ECB_00276,1
AraM1,ECB_00277,1
AraM1,ECB_00278,1
AraM1,ECB_00279,1
AraM1,ECB_00280,1
AraM1,ECB_00281,1
AraM1,ECB_00282,1
AraM1,ECB_00283,1
AraM1,ECB_00284,1
AraM1,ECB_00285,1
AraM1,ECB_00286,1
AraM1,ECB_00287,1
AraM1,ECB_00288,1
