line,target_id
Ara-2,ECB_02119
Ara-2,ECB_02166
Ara-2,ECB_02191
Ara-2,ECB_02342
Ara-2,ECB_02428
Ara-2,ECB_02455
Ara-2,ECB_02537
Ara-2,ECB_02699
Ara-2,ECB_02789
Ara-2,ECB_02798
Ara-2,ECB_02801
Ara-2,ECB_02821
Ara-2,ECB_02882
Ara-2,ECB_02987
Ara-2,ECB_03085
Ara-2,ECB_03128
Ara-2,ECB_03247
Ara-2,ECB_03460
Ara-2,ECB_03511
Ara-2,ECB_03519
Ara-2,ECB_03523
Ara-2,ECB_03631
Ara-2,ECB_03634
Ara-2,ECB_03635
Ara-2,ECB_03636
Ara-2,ECB_03637
Ara-2,ECB_03638
Ara-2,ECB_03708
Ara-2,ECB_03759
Ara-2,ECB_03894
Ara-2,ECB_03901
Ara-2,ECB_03925
Ara-2,ECB_03946
Ara-2,ECB_03960
Ara-2,ECB_04004
Ara-2,ECB_04037
Ara-2,ECB_04046
Ara-2,ECB_04148
Ara-2,ECB_04189
Ara-2,ECB_04205
Ara-2,ECB_04206
Ara-2,ECB_04207
Ara-2,ECB_04216
Ara-3,ECB_00129
Ara-3,ECB_00138
Ara-3,ECB_00152
Ara-3,ECB_00250
Ara-3,ECB_00321
Ara-3,ECB_00409
Ara-3,ECB_00429
Ara-3,ECB_00502
Ara-3,ECB_00506
Ara-3,ECB_00507
Ara-3,ECB_00508
Ara-3,ECB_00509
Ara-3,ECB_00510
Ara-3,ECB_00511
Ara-3,ECB_00512
Ara-3,ECB_00513
Ara-3,ECB_00514
Ara-3,ECB_00515
Ara-3,ECB_00516
Ara-3,ECB_00517
Ara-3,ECB_00518
Ara-3,ECB_00519
Ara-3,ECB_00520
Ara-3,ECB_00521
Ara-3,ECB_00522
Ara-3,ECB_00524
Ara-3,ECB_00525
Ara-3,ECB_00526
Ara-3,ECB_00527
Ara-3,ECB_00528
Ara-3,ECB_00529
Ara-3,ECB_00530
Ara-3,ECB_00531
Ara-3,ECB_00532
Ara-3,ECB_00533
Ara-3,ECB_00534
Ara-3,ECB_00535
Ara-3,ECB_00536
Ara-3,ECB_00537
Ara-3,ECB_00538
Ara-3,ECB_00539
Ara-3,ECB_00540
Ara-3,ECB_00541
Ara-3,ECB_00542
Ara-3,ECB_00543
Ara-3,ECB_00545
Ara-3,ECB_00546
Ara-3,ECB_00547
Ara-3,ECB_00548
Ara-3,ECB_00549
Ara-3,ECB_00550
Ara-3,ECB_00551
Ara-3,ECB_00552
Ara-3,ECB_00553
Ara-3,ECB_00554
Ara-3,ECB_00555
Ara-3,ECB_00556
Ara-3,ECB_00557
Ara-3,ECB_00558
Ara-3,ECB_00559
Ara-3,ECB_00560
Ara-3,ECB_00561
Ara-3,ECB_00562
Ara-3,ECB_00563
Ara-3,ECB_00564
Ara-3,ECB_00566
Ara-3,ECB_00567
Ara-3,ECB_00568
Ara-3,ECB_00569
Ara-3,ECB_00570
Ara-3,ECB_00571
Ara-3,ECB_00572
Ara-3,ECB_00573
Ara-3,ECB_00578
Ara-3,ECB_00589
Ara-3,ECB_00598
Ara-3,ECB_00654
Ara-3,ECB_00735
